LEAF GAME flower
PLANTS HUNT flowers
OBOE BOUNDARY flute
TRAVEL COWBOY fly
UNCLEAR GAG fog
NAPKIN GRACE fold
NOTEBOOK SPHINX folder
LEADERSHIP REFRAIN follower
VEGETABLE CREATOR food
SPLINTER CHESS foot
LEAGUE COVERED football
ACCOUNT PERCH for
INTENSITY PRESIDENT force
EXCHANGE OWNER foreign
INSIGHT CRUNCHY foresight
PATH SPAN forest
LIFE HANDBAG forever
MISTAKE STROKE forgive
SPATULA FLUNK fork
LUCK THEOREM fortune
DIRECT VODKA forward
FIND GREED found
FANTASTIC SLENDER four
MINK LESS fox
FRIGID ASHAMED fragile
GLASSES GREET frame
TOUR BRITANNICA france
DRACULA SIREN frankenstein
CLUB JUSTIFY fraternity
GULL SEDATIVE freedom
FOE CONSEQUENCE friend
STEAK CONQUEST fries
BEWARE SAY fright
SACRED NEIGHBORHOOD frightened
BIOLOGY ROUTINE frog
REAR SAUSAGE front
LEMON SNOW fruit
VANILLA VESSEL fudge
HUNGRY LIMOUSINE full
PROM SLUM fun
MOSS BLOOM fungus
OUTRAGEOUS HELP funny
ANTIQUE WALL furniture
TECHNOLOGY PLANE future
NET ADOLESCENT gain
POKER ANGRY gamble
RULES ICEBERG game
GEESE BAT gander
WASTED PERSONNEL garbage
HERB SHELL garden
STEAM UNIQUE gas
COMPOSE PAPER gather
LOSER DIRECTION geek
COLONEL SOON general
GRAPH BUS geometry
BOY FRIGHT george
BRING HARE get
FRIGHT OTTER ghost
DONATION BROCCOLI gift
BRANDY RESORT gin
BRACELET RESPONSE girl
SWEETHEART PASSIVE girlfriend
SOFTBALL PITCHER girls
RETURN BUMPS give
SMASH DRACULA glass
SHADE HAUNT glasses
PRAISE INFLUENCE glory
BOXER LAWYER gloves
STICKER MOSS glue
BRAKE CRANE go
CAREER CATASTROPHE goal
POPE DETECTIVE god
OLYMPICS FLY gold
DONE FEDERAL gone
SLIME TRANSPARENT goo
SOMETHING GALLON good
BUMPS SOLDIER goose
TAX TOW government
RELEASE PRESS grab
CEREMONY PANTS graduation
BIG STAIR grand
KNITTING PORT grandma
JELLY AWAY grape
DIAGRAM SCOOP graph
REACH SPREAD grasp
PASTURE DEPTH grass
CEMETERY HAYSTACK grave
BRAVADO ADVERTISEMENT great
ENVY HERD greed
MINTS OBJECTIVE green
BAR DEAF grill
STORE POLITICS groceries
SLUG ASTROLOGY gross
CAMP SOAP ground
JOIN VAULT group
SHRINK FAITHFUL grow
FUNGUS ATTIC growth
PALACE UNDERGROUND guard
THEOREM TUB guess
ASHAMED PACKAGE guilt
CONFESS BUG guilty
BASE BUFFALO guitar
CANDY PLAYGROUND gum
COLT GRANT gun
ADDICTION BOOT habit
FOREHEAD CELLAR hair
POOL GLASSES hall
PUMPKIN WILLING halloween
DOORWAY HUNGER hallway
ONION MATERIAL hamburger
CARPENTER SAVIOR hammer
FELT CRISIS hand
PRAYER GRAVITY hands
LIVE BOIL happy
DISCOMFORT INTEGRATE hard
CROPS CLEANING harvest
BANDANNA INDIAN hat
GREED STOPPER hate
RETAIN NEWSPAPER have
WHEAT SEEK hay
DEPARTMENT TROMBONE head
PAIN IMPORTANT headache
CONDITION TAPE health
ILL ROCKET healthy
SEE WALKWAY hear
ATTACK HOSTAGE heart
OVEN FLORIDA heat
SKY WIND heaven
LIFT TARNISH heavy
PIT CRATER hell
VISIT MALE hello
CURE LOUNGE help
ASSISTANCE PLANT helper
SHE SPILL her
AWAY TRANQUIL here
OBVIOUS VALUE hidden
FEVER NURSE high
EDUCATION PRETEND higher
LANE MAZE highway
INCLINE BIRTHDAY hill
CUE BASEBALL hint
THIGH NEW hip
POUNCE DEGRADE hit
THUMB DAMAGE hitchhike
BOG PASTURE hog
STALL EQUAL hold
TORN BASE hole
BIBLE KIDNAP holy
LOCATION SUNDAY home
NOMAD TEMPERATURE homeless
COMPLETE MUCH homework
DISHONEST IMPRESSION honest
DECEPTION BOX honesty
PLEDGE METER honor
EARRING KNOT hoop
ANTLER SHOOT horn
CATTLE EIGHT horse
STOCKING MEDIA hose
VISITOR DIFFER hospital
STEWARDESS FLEET hostess
THERMOMETER SET hot
LOUNGE FUNGI hotel
GRAY CAMP hound
SEMESTER WORD hours
HAUNT SLIME house
ARMS HITCH hug
HAWAII HAIR hula
RACE CATCH human
PERCENTAGE CAVE hundred
CRAVE HEAD hunger
SANDWICH FIND hungry
PREDATOR BAR hunter
EARTHQUAKE CANAL hurricane
QUICK WAY hurry
LASH VIOLIN hurt
LOYALTY IVY husband
PENDULUM SUITCASE hypnotize
BLENDER BARRIER ice
IDENTITY STAG id
SCHEME ISOLATED idea
JERK WED idiot
RESPOND STIR ignore
REMEDY COMPANION ill
DRUGS MILLION illegal
JUVENILE SHIVER immature
INCOME DISINTEGRATE important
DRIVE CRAFT in
MULTIPLY UNSURE increase
DEPEND DRAGON independent
BRAVE BREAKABLE indian
INSIDE SIGHT indoors
INTERIOR LICE inferior
INTAKE LOVER inhale
NAIVE LEGS innocent
ABNORMAL CAVITY insane
HORN GRATE instrument
TITLE WHEEL insurance
WRINKLE GLANDS iron
UNUSUAL COMBINE irregular
OBNOXIOUS EXPLAIN irritating
INLET STEAL island
FIX ARGUE it
SAUSAGE OVERFLOW italian
WOOL BOOTS itch
BREAKABLE LET item
SWEATER BEAT jacket
SUSPECT FRIGID jail
DOE MOTOR jane
FADE COMPOUND jeans
MINT GIRAFFE jelly
FAITH INSTANCE jesus
CHRISTIAN ACROBAT jewish
PAYMENT BREATH job
SWIMMER ENVY jogger
COMBINE WORTH join
AMUSE FREEZE joke
ADVENTURE UNDERSTANDING journey
EVALUATE REPLACE judge
BEETLE FEUD juice
SKI LOUD jump
APE CHAPEL jungle
ADOLESCENT JURY juvenile
STORAGE MONTHLY keep
SHOP BLUFF keeper
RELISH YOUNG ketchup
PIANO RUDE key
CAPTURE DIFFERENCE kidnap
PLAYING LASH kids
REVENGE SATAN kill
CONVICT PALACE killer
BRAND BLINDS kind
CHESS SIP king
ROMANCE MOTORCYCLE kiss
STOVE ADVISE kitchen
GRACEFUL DISCOMFORT klutz
BRUISE UNHAPPY knee
DULL ESSENCE knife
SWORD STY knight
SEW UNDERSTAND knit
THINK WOOL know
CURIOSITY BREATHE knowledge
SHOE SPINE lace
ROPE RIDER ladder
FAT SOUR lady
OTTER COOL lake
EWE DICTATOR lamb
GEOLOGY HAIRCUT land
SIGN WRIST language
VOCABULARY DECOMPOSE large
FINAL INFERNO last
SOON JUNIOR late
IMMEDIATE PAGE later
JOKER VOCABULARY laugh
LAWSUIT SUGAR law
GRASS LAWSUIT lawn
LAWYER BRICK lawsuit
PROFESSIONAL CENTRAL lawyer
BRICK TILL layer
CHIEF AROMA leader
BRANCH DOWNTOWN leaf
UNIVERSITY CHOP learn
BOOTS CONVERSATION leather
GO KNITTING leave
BUSH ENVIRONMENT leaves
CLIFF RESCUE ledge
MARGIN POUND left
HEM APPENDAGE leg
MYTHOLOGY BALLOON legend
SHORTS SUBSTANCE legs
SOUR ESCAPE lemon
OWE FOLLOW lend
HEIGHT ACE length
SPINE BANQUET less
FABLE STITCH lesson
PERMIT STUMBLE let
WORD PEARL letter
SCRAMBLED COMPASSION letters
ICEBERG STEAM lettuce
POLITICIAN TRAFFIC liar
BELL PLATFORM liberty
STOPPER PUBLISHER lid
BELIEF SPRINKLE lie
ENJOY SEAT life
REFLECT ADJOURN light
STORM EXCELLENT lightning
FANCY POPE like
SHORE CREAM line
COUGAR VASELINE lion
RECORD ROTTEN listen
SMALL CHEW little
ALIVE VIRGIN live
BURDEN FIT load
SHRIMP GRAFT lobster
VAULT BANK lock
WOOD REPLY log
POOR ROW lonely
HOURS THROUGH long
PERCEIVE CRITICAL look
APPEAL HUG looks
REPLACE LENIENT loose
FORGET SHOP lose
VICTOR VENT loser
MAZE RELIGIOUS lost
AMOUNT CELLO lot
TON ELEVATOR lots
MICROPHONE COMMITTEE loud
VALENTINE TOUR love
GENTLE OPTION loving
