TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
nail,REMOVER,7,0.65,1.53,6.2,4,3,15121,2520.17,NN,712.35,-0.27,0.89,bpa,,0.384,,12,0.33,618.258064516129,-0.111194351139745,0.967741935483871,668.606060606061,-0.0648209343067514,1,-6.67741935483866,-0.36343218901843,0.032258064516129,22.9090909090909,0.133986254182678,-0.0303030303030303
naked,PARTY,5,233.14,4.08,11.14,6,0,5768,1442,NN|VB,539.71,-0.8,0.94,unclassified,,0.022,,22,0.03,631.515151515152,-0.160200910227215,0.939393939393939,612,-0.176853684220961,0.96875,40,0.31594260650684,0.0303030303030303,11.40625,-0.0283903169074153,0
name,DESIGNER,8,5.24,2.43,9.16,1,1,18287,2612.43,NN,594.49,-0.64,1,fpa,,0.02,0,17,0.05,628.1875,-0.28595503889048,1,664.3125,-0.0928968084466731,0.9375,95.296370967742,0.276351362415104,0,-3.03977272727275,-0.051142748042946,0.00189393939393945
narrow,STRAIGHT,8,122.43,3.8,10.66,0,,10911,1558.71,JJ|NN,587.12,-0.65,1,fpa,associated properties,0.108,0.021,12,0.37,647.030303030303,-0.109348085193471,0.878787878787879,626.354838709677,-0.167474765675852,0.967741935483871,107.063446969697,0.725927165297025,0.0587121212121212,156.676411290323,0.659902852217957,-0.092741935483871
nature,ENVIRONMENT,11,12.78,2.81,11.17,0,,21034,2103.4,NN,816.82,0.03,0.97,synonym,,0.047,0.031,21,0.24,650.46875,-0.192498343773034,1,670.625,-0.225804281640338,1,113.625,0.533610353627378,-0.03125,54.28125,0.306777475989913,-0.0625
navy,OFFICER,7,103.24,3.72,9.85,1,0,11489,1914.83,NN,658.64,-0.38,0.97,bpa,,0.02,0,13,0.46,671.818181818182,-0.171950958445201,1,673.612903225806,0.1321575394754,0.935483870967742,30.1193181818181,0.215547325023375,-0.03125,-54.7741935483871,-0.159833190876905,0
near,CLOSE,5,219.43,4.05,11.35,3,0,4924,1231,VB,542.71,-0.84,1,synonym,,0.09,0.394,9,0.51,578.1875,-0.251918261222807,1,832.766666666667,0.25811367311684,0.866666666666667,36.9737903225806,0.0766111826286154,0,-206.735416666667,-0.598234283657934,0.133333333333333
neat,INTERESTING,11,86.69,3.65,11.34,0,,48672,4867.2,JJ|VB,675.55,-0.4,1,unclassified,,0.034,0,20,0.34,752.848484848485,0.706279320414784,0.818181818181818,753,0.648753732322484,0.9375,7.57575757575751,-0.221272765748434,0.0909090909090908,-70.5,-0.615632855022572,0
neck,GLANDS,6,1.63,1.92,6.46,1,0,8115,1623,NN,698.78,-0.36,0.94,category,,0.027,0,16,0.15,753.78125,0.0726777985873785,0.90625,605.125,-0.282103920869786,1,-2.40625,0.0109527335496029,0.0625,68.71875,0.319003129602449,0
necklace,JEWELRY,7,11.06,2.75,8.72,0,,3333,555.5,NN,619.91,-0.64,1,supraordinate,,0.074,0.07,13,0.34,666.125,0.0425147222042461,0.9375,787.78125,0.246861309487747,1,-43.4375,-0.204283613608832,0,-106.96875,-0.34197044020764,0
